Video ID,User ID,Comment
_J-uvMGfpTA,UC4mZXptTrROu4nEgK6QpNiQ,The j6 riot was about stopping a crime; not committing one.<br>Most people know this. <br><br>That’s why Trump won so handedly in 2024. <br><br>And why Democrats were short 8-10 million votes this time.<br><br>They didn’t have Covid to provide cover for a bunch of fraudulent votes this time. Sorry.
_J-uvMGfpTA,UCmxX9bAr8BdoRI5xcPiKfAQ,MAGA believes the Coup members were FBI dressed up to make us belive it was Trump supporters! They rdfuse to see Trump as who he is! 😢😢😢💔💔💔
_J-uvMGfpTA,UCtpCViOOCrfMJJgqQbHYGZQ,this election really mattered.  sometimes i take a poop that really matters.
_J-uvMGfpTA,UCjQVrMwtYGDR2tg45ay7JcQ,This station is sick
_J-uvMGfpTA,UCVlAv7xWWUhNAe7BQAPJ-pQ,evry1 knows its the 3rd reich restarting
_J-uvMGfpTA,UC5HM-d5icRPJKY7rlL9HLoQ,"“Very suggestive…???!!!”<br>Leave it to MSM to water it down, soften it up, round off the edges.<br>We continue to refuse to wake up."
_J-uvMGfpTA,UCNCkMCvm5sXxYGy29oeariA,I just realized the reason he changed twitter to X. Thats the hail hitler jesture on both sides. wow
_J-uvMGfpTA,UCsbdI2rAkmRhRLzWXVBaEHA,"Musk is why there is a profound need for DEI initiatives everywhere. Americans should have access to the best and brightest individuals who have the ability to make sound decisions, especially in his role as a servant of the American people.  Musk, however,  is not one of the best and brightest --- at best --- he is an automaton. He should, therefore, be sent back to South Africa based on his blatant embrace of Nazism."
_J-uvMGfpTA,UCzXxyXu5x0OIlSvo5UKih9Q,Her mother) Go &amp; ring (Hermann Göring)<br>with a &quot;Hitlerian&quot; salute in a &quot;Musk El&quot; burst<br>That (Trump) is enormous...?😮
_J-uvMGfpTA,UCUSddQxd_4gZq8yj-Jxi2qA,How ignorant of you and your supporters. You stopped the video of Elon before he said &quot;my heart to you&quot; when doing the motion. You&#39;re all ignorant sheep.
_J-uvMGfpTA,UCWobZ5fsqBsPDFl3aW0KBVA,"Yeah, that&#39;s BS. First of all, Musk did not hold his hand to his chest in a salute manner that Rachel Maddow displayed. Musk&#39;s hand was open and held flat over his heart. Therefore, if you want to play that game, there&#39;s picture of Alexandria Cortez-Smollett, Hillary Clinton, Corey Booker and a few other well known Democrats, doing the same thing. So, yeah, lets enjoy the spin of MSNBC. You all are smart, have common sense and are intelligent for listening to MSNBC and any other manipulative language they throw at you for being an MSNBC viewer. They do that all the time and you all think you&#39;re not being programmed."
_J-uvMGfpTA,UCUa1uMfeHAhDO9PMfDmnLIg,Man it’ll be so funny if he buys MSNBC
_J-uvMGfpTA,UCWiDtWNOw6bE1hLGox0UyDA,RACIST NICKEL JOY
_J-uvMGfpTA,UCTaUG1LVtUfsTHQYPn1W3jg,"<a href=""https://www.youtube.com/watch?v=_J-uvMGfpTA&amp;t=187"">3:07</a> i hope he sues the crap out of you"
_J-uvMGfpTA,UCIqkn1SMKwltm6TgZ8Wzr4A,LOL  what is this from?  SNL??  Really really good!  I like how these comedians maintain in characted...I&#39;d be laughing right away.
_J-uvMGfpTA,UCK7HJUELRpjJG2trVMLB5-w,I can’t watch this. This is like eating vomit.
_J-uvMGfpTA,UCZQMxC2JhaafNZA47NPpN4Q,It&#39;s so sad when a whole news network revolves around the grift...
_J-uvMGfpTA,UCbmLDaUUoSvfwWoLWCn-FTw,Just make it all up as you always do... you make it fake by putting your own words to it instead of asking him why or what he was doing...
_J-uvMGfpTA,UC_KzX8UcUr3JYue89OOk54Q,"What, y&#39;all not going to talk about how Tim Walz made the EXACT SAME gesture during the campaign?  It was literally exactly the same.  Color me surprised how that is being left out."
_J-uvMGfpTA,UCifZASTjsV_bxEvBNwWjQ8g,"Lying crappy channel you have. Filled with BS. You should be ashamed. One day in the courts of Heaven, you will account fir ever false accusation and lie you&#39;ve told."
_J-uvMGfpTA,UCifZASTjsV_bxEvBNwWjQ8g,I call BS!😂
_J-uvMGfpTA,UCNaP5s8x65JXAJLc71J4jCg,BS.  He was making a gesture from his heart.  Nothing like Hitler.  People call racism or sexism when nothing else fits the box.  Grow up people.
_J-uvMGfpTA,UCcisnfkS0kSwXxDjNjaprVA,😂😂😂… DEMOCRAT MELTDOWNS are the best …😂😂😂
_J-uvMGfpTA,UCi6CAXFrqIBc8Bx8VKjcasA,A lot to get to in 4 years
_J-uvMGfpTA,UC5W9GCXkXpR-KxY1UEwsolw,"Elon should sue you for what you are suggesting of him, and Trump as well.  You are literally twisting things to stir of division and hate!"
